"Bot";"StartTime";"EndTime";"RouteType";"TaskType"
76;18.8999999985;196.3983999975;"ROUTE_1";"INPUT"
76;196.3983999975;260.048066441;"ROUTE_2";"INPUT"
87;18.6000000015;194.8981000036;"ROUTE_1";"INPUT"
87;194.8981000036;260.2727314457;"ROUTE_2";"INPUT"
60;155.8590000011;205.3154871799;"ROUTE_1";"OUTPUT"
60;205.3154871799;264.0832776353;"ROUTE_2";"OUTPUT"
98;18.5;206.2588;"ROUTE_1";"INPUT"
98;206.2588;264.7306624167;"ROUTE_2";"INPUT"
26;148.6975999996;225.619571358;"ROUTE_1";"INPUT"
26;225.619571358;265.114434652;"ROUTE_2";"INPUT"
85;109.050499998;192.1347313672;"ROUTE_1";"OUTPUT"
85;192.1347313672;265.3614973351;"ROUTE_2";"OUTPUT"
46;119.8528999984;206.6251000017;"ROUTE_1";"INPUT"
46;206.6251000017;266.5384534299;"ROUTE_2";"INPUT"
103;153.8611000031;220.7645837031;"ROUTE_1";"INPUT"
103;220.7645837031;268.5562712848;"ROUTE_2";"INPUT"
18;140.5839999989;201.6410374269;"ROUTE_1";"OUTPUT"
18;201.6410374269;270.4009567127;"ROUTE_2";"OUTPUT"
43;158.8427000009;219.8893180937;"ROUTE_1";"INPUT"
43;219.8893180937;272.2223554589;"ROUTE_2";"INPUT"
57;139.4940000027;218.0832000002;"ROUTE_1";"INPUT"
57;218.0832000002;272.3231535852;"ROUTE_2";"INPUT"
40;155.8022000045;215.3683883511;"ROUTE_1";"OUTPUT"
40;215.3683883511;272.5572584234;"ROUTE_2";"OUTPUT"
16;170.9009999968;229.4821720906;"ROUTE_1";"INPUT"
16;229.4821720906;272.6208421923;"ROUTE_2";"INPUT"
35;158.889200002;232.6131992042;"ROUTE_1";"INPUT"
35;232.6131992042;273.3365863375;"ROUTE_2";"INPUT"
42;177.8305999972;236.1020642072;"ROUTE_1";"INPUT"
42;236.1020642072;274.306729842;"ROUTE_2";"INPUT"
