task;level;bot;taskType;routeType;isTrimmed;startTime;endTime;time;stayAtFinal;mvc;slotTime;slotNr;platformArrival
1530;0;5;INPUT;ROUTE_1;false;751180.0;797000.0;45820.0;24000.0;52;690000;138;690000
1530;0;5;INPUT;ROUTE_2;false;797000.0;850643.0;53643.0;18000.0;52;NA;NA;NA
586;0;7;OUTPUT;ROUTE_1;false;737946.0;754091.0;16145.0;12095.0;68;NA;NA;NA
586;0;7;OUTPUT;ROUTE_2;false;754091.0;793000.0;38909.0;13000.0;68;790000;158;790000
588;0;8;OUTPUT;ROUTE_1;false;733931.0;751899.0;17968.0;11893.0;4;NA;NA;NA
588;0;8;OUTPUT;ROUTE_2;false;751899.0;793000.0;41101.0;13000.0;4;790000;158;790000
1521;0;3;INPUT;ROUTE_1;false;800864.0;847000.0;46136.0;24000.0;24;740000;148;740000
1521;0;3;INPUT;ROUTE_2;false;847000.0;891744.0;44744.0;18000.0;24;NA;NA;NA
1521;0;1;INPUT;BLOCKER;false;779523.0;790189.0;10666.0;0.0;24;NA;NA;NA
1584;0;1;INPUT;ROUTE_1;false;832436.0;872000.0;39564.0;32400.0;20;765000;153;765000
1584;0;1;INPUT;ROUTE_2;false;872000.0;914211.0;42211.0;18000.0;20;NA;NA;NA
1582;0;7;INPUT;ROUTE_1;false;851936.0;877000.0;25064.0;17000.0;52;770000;154;770000
1582;0;7;INPUT;ROUTE_2;false;877000.0;925460.0;48460.0;18000.0;52;NA;NA;NA
1583;0;6;INPUT;ROUTE_1;false;847237.0;887000.0;39763.0;24000.0;56;780000;156;780000
1583;0;6;INPUT;ROUTE_2;false;887000.0;921104.0;34104.0;18000.0;56;NA;NA;NA
1552;0;8;INPUT;ROUTE_1;false;859050.0;892000.0;32950.0;17000.0;20;785000;157;785000
1552;0;8;INPUT;ROUTE_2;false;892000.0;924587.0;32587.0;18000.0;20;NA;NA;NA
1613;0;2;INPUT;ROUTE_1;false;867146.0;917000.0;49854.0;32400.0;24;810000;162;810000
1613;0;2;INPUT;ROUTE_2;false;917000.0;955001.0;38001.0;18000.0;24;NA;NA;NA
714;0;4;OUTPUT;ROUTE_1;false;854452.0;877887.0;23435.0;11285.0;4;NA;NA;NA
714;0;4;OUTPUT;ROUTE_2;false;877887.0;908000.0;30113.0;13000.0;4;905000;181;905000
728;0;5;OUTPUT;ROUTE_1;false;863226.0;878764.0;15538.0;12163.0;36;NA;NA;NA
728;0;5;OUTPUT;ROUTE_2;false;878764.0;918000.0;39236.0;13000.0;36;915000;183;915000
773;0;3;OUTPUT;ROUTE_1;false;931907.0;945622.0;13715.0;12365.0;72;NA;NA;NA
773;0;3;OUTPUT;ROUTE_2;false;945622.0;983000.0;37378.0;13000.0;72;980000;196;980000
1616;0;4;INPUT;ROUTE_1;false;986936.0;1012000.0;25064.0;17000.0;20;905000;181;905000
1616;0;4;INPUT;ROUTE_2;false;1012000.0;1049813.0;37813.0;18000.0;20;NA;NA;NA
1675;0;5;INPUT;ROUTE_1;false;999920.0;1027000.0;27080.0;17000.0;56;920000;184;920000
1675;0;5;INPUT;ROUTE_2;false;1027000.0;1067694.0;40694.0;18000.0;56;NA;NA;NA
797;0;6;OUTPUT;ROUTE_1;false;934082.0;975079.0;40997.0;17334.0;72;NA;NA;NA
797;0;6;OUTPUT;ROUTE_2;false;975079.0;1003000.0;27921.0;13000.0;72;1000000;200;1000000
797;0;2;OUTPUT;BLOCKER;false;955001.0;956351.0;1350.0;0.0;72;NA;NA;NA
1693;0;1;INPUT;ROUTE_1;true;996913.0;1052000.0;55087.0;32400.0;24;945000;189;945000
